object_name,original_resolution_width,original_resolution_height,effective_resolution_width,effective_resolution_height,mAP,degradation_factor,GSD,pixels_on_target,knee
Tugboat,640,640,64,64,0.0,0.1,2.9999999999999996,46,False
Barge,640,640,64,64,0.0,0.1,2.9999999999999996,145,False
Fishing Vessel,640,640,64,64,0.0,0.1,2.9999999999999996,27,False
Ferry,640,640,64,64,0.0,0.1,2.9999999999999996,104,False
Yacht,640,640,64,64,0.0,0.1,2.9999999999999996,33,False
Container Ship,640,640,64,64,0.0,0.1,2.9999999999999996,470,False
Oil Tanker,640,640,64,64,0.0,0.1,2.9999999999999996,424,False
Engineering Vehicle,640,640,64,64,0.0,0.1,2.9999999999999996,18,False
Tower crane,640,640,64,64,0.0,0.1,2.9999999999999996,151,False
Container Crane,640,640,64,64,0.0,0.1,2.9999999999999996,220,False
Reach Stacker,640,640,64,64,0.0,0.1,2.9999999999999996,12,False
Straddle Carrier,640,640,64,64,0.0,0.1,2.9999999999999996,138,False
Mobile Crane,640,640,64,64,0.0,0.1,2.9999999999999996,62,False
Dump Truck,640,640,64,64,0.0,0.1,2.9999999999999996,6,False
Haul Truck,640,640,64,64,0.0,0.1,2.9999999999999996,22,False
Scraper/Tractor,640,640,64,64,0.0,0.1,2.9999999999999996,7,False
Front loader/Bulldozer,640,640,64,64,0.0,0.1,2.9999999999999996,6,False
Excavator,640,640,64,64,0.0,0.1,2.9999999999999996,8,False
Cement Mixer,640,640,64,64,0.0,0.1,2.9999999999999996,6,False
Ground Grader,640,640,64,64,0.0,0.1,2.9999999999999996,7,False
Hut/Tent,640,640,64,64,0.0,0.1,2.9999999999999996,12,False
Shipping Container,640,640,64,64,0.0064215657888047175,0.1,2.9999999999999996,8,False
Fixed-wing Aircraft,640,640,96,96,0.01737233031674208,0.15,2.0,80,False
Small Aircraft,640,640,96,96,0.005669191919191919,0.15,2.0,36,False
Cargo Plane,640,640,96,96,0.4251181738791769,0.15,2.0,329,False
Helicopter,640,640,96,96,0.0,0.15,2.0,44,False
Passenger Vehicle,640,640,96,96,0.0,0.15,2.0,5,False
Small Car,640,640,96,96,0.0035857826161588635,0.15,2.0,5,False
Bus,640,640,96,96,0.01597603895377444,0.15,2.0,12,False
Pickup Truck,640,640,96,96,0.0,0.15,2.0,6,False
Utility Truck,640,640,96,96,0.0014702123147848501,0.15,2.0,7,False
Truck,640,640,96,96,0.006619178705246446,0.15,2.0,12,False
